codigo_ine,municipio
39001,ALFOZ DE LLOREDO
39002,AMPUERO
39003,ANIEVAS
39004,ARENAS DE IGUÑA
39005,ARGOÑOS
39006,ARNUERO
39007,ARREDONDO
39008,"ASTILLERO, EL"
39009,BARCENA DE CICERO
39010,BARCENA DE PIE DE CONCHA
39011,BAREYO
39012,CABEZON DE LA SAL
39013,CABEZON DE LIEBANA
39014,CABUERNIGA
39015,CAMALEÑO
39016,CAMARGO
39017,CAMPOO DE YUSO
39018,CARTES
39019,CASTAÑEDA
39020,CASTRO-URDIALES
39021,CIEZA
39022,CILLORIGO DE LIEBANA
39023,COLINDRES
39024,COMILLAS
39025,"CORRALES DE BUELNA, LOS"
39026,CORVERA DE TORANZO
39027,"CAMPOO DE ENMEDIO"
39028,ENTRAMBASAGUAS
39029,ESCALANTE
39030,GURIEZO
39031,HAZAS DE CESTO
39032,HERMANDAD DE CAMPOO DE SUSO
39033,HERRERIAS
39034,LAMASON
39035,LAREDO
39036,LIENDO
39037,LIERGANES
39038,LIMPIAS
39039,LUENA
39040,MARINA DE CUDEYO
39041,MAZCUERRAS
39042,MEDIO CUDEYO
39043,MERUELO
39044,MIENGO
39045,MIERA
39046,MOLLEDO
39047,NOJA
39048,PENAGOS
39049,PEÑARRUBIA
39050,PESAGUERO
39051,PESQUERA
39052,PIELAGOS
39053,POLACIONES
39054,POLANCO
39055,POTES
39056,PUENTE VIESGO
39057,RAMALES DE LA VICTORIA
39058,RASINES
39059,REINOSA
39060,REOCIN
39061,RIBAMONTAN AL MAR
39062,RIBAMONTAN AL MONTE
39063,RIONANSA
39064,RIOTUERTO
39065,"ROZAS DE VALDEARROYO, LAS"
39066,RUENTE
39067,RUESGA
39068,RUILOBA
39069,SAN FELICES DE BUELNA
39070,SAN MIGUEL DE AGUAYO
39071,SAN PEDRO DEL ROMERAL
39072,SAN ROQUE DE RIOMIERA
39073,SANTA CRUZ DE BEZANA
39074,SANTA MARIA DE CAYON
39075,SANTANDER
39076,SANTILLANA DEL MAR
39077,SANTIURDE DE REINOSA
39078,SANTIURDE DE TORANZO
39079,SANTOÑA
39080,SAN VICENTE DE LA BARQUERA
39081,SARO
39082,SELAYA
39083,SOBA
39084,SOLORZANO
39085,SUANCES
39086,"TOJOS, LOS"
39087,TORRELAVEGA
39088,TRESVISO
39089,TUDANCA
39090,UDIAS
39091,VALDALIGA
39092,VALDEOLEA
39093,VALDEPRADO DEL RIO
39094,VALDERREDIBLE
39095,VAL DE SAN VICENTE
39096,VEGA DE LIEBANA
39097,VEGA DE PAS
39098,VILLACARRIEDO
39099,VILLAESCUSA
39100,VILLAFUFRE
39101,VALLE DE VILLAVERDE
39102,VOTO